date,temp_avg,hum_avg,rainfall,sunshine,wind_velo,iod,nino
1991-10-31,867.4,2107.0,0.0,244.3,120.0,0.3,1.1
1991-11-30,851.9,2235.0,27.9,173.3,101.0,0.28,1.43
1991-12-31,854.8,2567.0,195.4,135.9,95.0,0.26,1.85
1992-01-31,833.2,2646.0,604.6,177.5,103.0,-0.48,1.98
1992-02-29,782.4,2456.0,264.4,188.5,101.0,-0.7,1.94
1992-03-31,837.9,2727.0,481.8,146.4,103.0,-0.67,1.62
1992-04-30,824.2,2602.0,462.1,147.8,106.0,-0.44,1.6
1992-05-31,863.0,2575.0,244.5,205.7,102.0,-0.34,1.46
1992-06-30,816.4,2422.0,112.0,202.8,117.0,-0.81,0.95
1992-07-31,815.1,2466.0,43.0,233.1,140.0,-0.6,0.56
1992-08-31,829.0,2374.0,6.0,222.5,140.0,-0.99,0.32
1992-09-30,831.6,2254.0,21.0,219.3,127.0,-0.57,0.14
1992-10-31,881.5,2252.0,12.0,192.0,116.0,-0.41,-0.06
1992-11-30,838.3,2331.0,151.0,158.8,107.0,-0.09,-0.04
1992-12-31,840.6,2577.0,242.0,107.5,100.0,-0.28,0.02
1993-01-31,836.7,2598.0,438.0,127.2,117.0,-0.1,0.31
1993-02-28,757.1,2295.0,331.0,141.2,109.0,-0.1,0.59
1993-03-31,845.0,2554.0,301.0,185.3,101.0,-0.44,0.64
1993-04-30,827.4,2459.0,155.0,165.3,108.0,-0.29,0.99
1993-05-31,869.3,2463.0,78.0,207.2,134.0,0.29,1.2
1993-06-30,824.4,2440.0,315.0,190.6,124.0,0.19,0.73
1993-07-31,813.3,2342.0,0.0,238.0,127.0,0.36,0.56
1993-08-31,836.1,2306.0,23.0,235.6,157.0,-0.17,0.39
1993-09-30,818.7,2114.0,0.0,234.0,138.0,-0.25,0.55
1993-10-31,886.1,2092.0,0.0,244.7,133.0,-0.2,0.3
1993-11-30,880.3,2117.0,32.0,184.0,118.0,-0.19,0.25
1993-12-31,887.9,2353.0,312.0,168.0,117.0,-0.21,0.33
1994-01-31,833.7,2614.0,687.2,131.3,103.0,0.09,0.26
1994-02-28,757.0,2323.0,362.0,79.3,99.0,-0.15,0.23
1994-03-31,829.6,2643.0,459.0,100.4,98.0,-0.27,0.35
1994-04-30,837.8,2370.0,149.0,165.5,102.0,0.17,0.66
1994-05-31,843.7,2252.0,2.0,83.7,108.0,0.78,0.73
1994-06-30,795.6,2195.0,0.0,81.0,116.0,0.44,0.69
1994-07-31,793.3,2239.0,0.0,83.7,120.0,0.62,0.58
1994-08-31,800.2,2208.0,5.0,83.7,143.0,1.01,0.79
1994-09-30,797.7,2017.0,0.0,81.0,134.0,0.99,0.68
1994-10-31,883.9,2055.0,0.0,83.7,137.0,1.48,0.99
1994-11-30,896.0,2061.0,56.0,81.0,115.0,0.17,1.35
1994-12-31,887.7,2383.0,104.0,83.7,106.0,-0.04,1.42
1995-01-31,841.0,2606.0,385.0,83.7,119.0,-0.15,1.18
1995-02-28,749.8,2392.0,360.0,75.60000000000001,99.0,0.41,0.91
1995-03-31,844.6,2614.0,274.0,83.7,106.0,0.2,0.72
1995-04-30,837.4,2432.0,252.0,81.0,102.0,0.17,0.69
1995-05-31,875.0,2405.0,265.0,215.3,104.0,0.05,0.32
1995-06-30,830.8,2405.0,223.0,186.2,102.0,-0.04,0.24
1995-07-31,831.8,2366.0,54.0,248.0,105.0,-0.58,0.13
1995-08-31,821.9,2229.0,0.0,248.0,100.0,-0.57,-0.36
1995-09-30,830.0,2058.0,0.0,234.5,100.0,-0.16,-0.63
1995-10-31,904.1,2127.0,12.0,216.5,97.0,-0.29,-0.63
1995-11-30,843.1,2398.0,238.0,136.20000000000002,91.0,-0.67,-0.86
1995-12-31,858.0,2492.0,252.0,119.3,103.0,0.02,-0.77
1996-01-31,855.1,2533.0,341.8,160.0,95.0,0.28,-0.69
1996-02-29,766.4,2446.0,349.7,114.9,108.0,0.15,-0.68
1996-03-31,836.8,2560.0,182.4,141.8,101.0,-0.26,-0.35
1996-04-30,823.3,2449.0,216.1,167.7,85.0,-0.91,-0.06
1996-05-31,856.9,2513.0,314.6,199.0,109.0,-0.37,0.05
1996-06-30,805.1,2505.0,284.2,157.3,98.0,-0.7,-0.06
1996-07-31,835.6,2482.0,81.1,209.6,116.0,-0.63,-0.1
1996-08-31,818.9,2367.0,75.80000000000001,236.8,127.0,-0.94,0.04
1996-09-30,815.5,2148.0,0.0,227.6,119.0,-0.71,-0.24
1996-10-31,876.4,2232.0,95.9,209.5,109.0,-0.97,-0.2
1996-11-30,852.3,2253.0,95.9,190.5,96.0,-0.74,-0.17
1996-12-31,864.7,2502.0,271.5,176.9,100.0,-0.31,-0.47
1997-01-31,840.5,2438.0,311.2,103.0,110.0,-0.11,-0.36
1997-02-28,758.8,2268.0,198.0,95.9,94.0,0.2,-0.2
1997-03-31,874.0,2415.0,133.0,209.0,103.0,0.02,0.01
1997-04-30,840.6,2391.0,95.0,158.2,96.0,-0.05,0.57
1997-05-31,865.6,2447.0,217.0,220.6,93.0,0.02,1.07
1997-06-30,825.7,2274.0,13.0,229.6,104.0,0.17,1.46
1997-07-31,807.5,2259.0,0.0,232.4,99.0,0.45,1.89
1997-08-31,803.1999999999999,2254.0,0.0,243.7,116.0,0.34,2.15
1997-09-30,804.4,2091.0,0.0,238.5,110.0,0.83,2.33
1997-10-31,884.6,2004.0,0.0,231.6,110.0,1.06,2.59
1997-11-30,889.3,2015.0,19.0,206.4,104.0,1.48,2.65
1997-12-31,883.6,2402.0,232.0,147.3,90.0,0.97,2.46
1998-01-31,883.6,2476.0,430.1,186.3,95.0,0.63,2.54
1998-02-28,783.6,2345.0,531.7,119.6,76.0,0.05,2.2
1998-03-31,863.7,2640.0,473.0,118.3,79.0,-0.21,1.59
1998-04-30,858.0,2482.0,354.0,168.1,90.0,-0.06,1.19
1998-05-31,894.3,2478.0,258.0,187.1,95.0,0.05,1.01
1998-06-30,843.1,2487.0,373.0,161.5,89.0,-0.14,0.0
1998-07-31,863.6,2560.0,166.0,180.3,76.0,-0.86,-0.64
1998-08-31,840.1,2139.0,0.0,248.0,93.0,-0.76,-1.0
1998-09-30,843.9,2179.0,5.0,200.9,91.0,-0.48,-1.05
1998-10-31,885.6,2407.0,130.0,170.8,87.0,-0.64,-1.22
1998-11-30,828.4,2432.0,223.0,105.60000000000001,69.0,-0.85,-1.22
1998-12-31,845.8,2509.0,521.0,117.6,84.0,-0.46,-1.51
1999-01-31,831.8,2621.0,456.0,127.1,89.0,-0.56,-1.52
1999-02-28,764.2,2249.0,151.7,125.2,118.0,-0.22,-1.14
1999-03-31,845.2,2565.0,304.6,124.2,86.0,0.01,-0.7
1999-04-30,825.6,2453.0,338.59999999999997,147.4,81.0,-0.28,-0.71
1999-05-31,854.0,2427.0,100.7,204.0,92.0,-0.23,-0.71
1999-06-30,816.7,2271.0,10.0,224.1,84.0,-0.04,-0.81
1999-07-31,813.6,2338.0,34.699999999999996,231.7,95.0,0.12,-0.82
1999-08-31,822.7,2232.0,2.0,247.4,111.0,0.16,-0.95
1999-09-30,823.1,2083.0,0.0,235.3,123.0,0.2,-0.88
1999-10-31,886.5,2214.0,26.3,187.6,116.0,-0.38,-1.0
1999-11-30,834.5,2397.0,268.4,140.3,88.0,-0.17,-1.34
1999-12-31,859.4,2507.0,330.1,123.1,110.0,-0.05,-1.56
2000-01-31,832.5,2574.0,540.3,115.3,111.0,-0.09,-1.59
2000-02-29,785.2,2342.0,293.8,74.6,115.0,0.39,-1.36
2000-03-31,845.5,2508.0,273.2,130.7,110.0,0.62,-0.73
2000-04-30,829.0,2465.0,235.1,128.7,93.0,0.02,-0.45
2000-05-31,866.0,2472.0,179.7,172.1,113.0,0.33,-0.43
2000-06-30,813.3,2265.0,35.6,185.4,121.0,0.0,-0.4
2000-07-31,831.1,2246.0,6.9,239.7,146.0,0.01,-0.33
2000-08-31,831.0,2220.0,0.0,236.5,141.0,-0.16,-0.22
2000-09-30,842.2,2088.0,0.0,235.4,143.0,0.07,-0.31
2000-10-31,887.1,2259.0,187.3,147.4,123.0,-0.11,-0.46
2000-11-30,836.3,2438.0,192.1,119.4,106.0,-0.01,-0.54
2000-12-31,875.7,2332.0,232.9,153.6,117.0,0.09,-0.74
2001-01-31,839.4,2573.0,325.5,121.9,112.0,0.0,-0.56
2001-02-28,759.2,2226.0,333.0,105.9,126.0,0.29,-0.45
2001-03-31,836.1,2588.0,589.0,147.2,100.0,0.3,-0.22
2001-04-30,823.0,2448.0,231.9,172.4,96.0,-0.14,-0.08
2001-05-31,864.1,2410.0,109.60000000000001,219.70000000000002,100.0,-0.29,0.1
2001-06-30,810.3,2404.0,236.60000000000002,192.6,92.0,-0.09,0.19
2001-07-31,820.5,2376.0,90.7,233.6,113.0,-0.79,0.3
2001-08-31,812.9,2224.0,0.0,241.8,104.0,-0.42,0.21
2001-09-30,836.6,2133.0,0.0,233.6,110.0,-0.45,0.0
2001-10-31,878.1,2323.0,107.5,164.9,90.0,-0.54,0.1
2001-11-30,848.8,2335.0,135.6,155.6,80.0,-0.2,-0.12
2001-12-31,848.1,2448.0,419.9,130.1,84.0,-0.03,-0.23
2002-01-31,842.0,2577.0,571.2,137.6,88.0,-0.36,0.02
2002-02-28,754.9,2313.0,238.9,108.7,139.0,0.1,0.14
2002-03-31,855.8,2563.0,208.5,162.0,100.0,-0.45,0.26
2002-04-30,837.2,2389.0,140.7,182.2,110.0,-0.53,0.43
2002-05-31,868.6,2372.0,74.3,218.9,118.0,-0.49,0.74
2002-06-30,817.1,2176.0,0.1,227.6,130.0,-0.26,1.09
2002-07-31,818.0,2278.0,0.2,223.2,108.0,-0.31,1.08
2002-08-31,807.8,2132.0,0.0,233.8,139.0,-0.41,1.13
2002-09-30,802.5,2032.0,0.0,236.6,85.0,0.6,1.29
2002-10-31,883.0,2038.0,0.0,228.1,85.0,0.61,1.48
2002-11-30,887.6,2077.0,35.4,156.8,98.0,0.21,1.7
2002-12-31,884.9,2402.0,205.7,171.4,92.0,-0.26,1.54
2003-01-31,854.4,2504.0,640.7,136.1,113.0,-0.43,0.77
2003-02-28,764.0,2405.0,540.6999999999999,105.5,90.0,0.12,0.82
2003-03-31,861.8,2461.0,324.9,189.7,75.0,0.21,0.62
2003-04-30,863.3,2266.0,83.7,193.5,88.0,-0.01,0.27
2003-05-31,860.8,2410.0,136.39999999999998,185.4,92.0,0.32,-0.18
2003-06-30,817.1,2228.0,52.2,222.0,104.0,0.37,0.09
2003-07-31,808.9,2202.0,0.0,241.7,92.0,0.23,0.54
2003-08-31,813.0,2174.0,0.0,239.2,108.0,0.34,0.52
2003-09-30,829.2,1970.0,0.0,237.1,107.0,0.03,0.47
2003-10-31,892.8,2052.0,14.0,200.3,92.0,-0.06,0.66
2003-11-30,860.3,2250.0,235.09999999999997,169.7,75.0,-0.28,0.58
2003-12-31,869.5,2385.0,94.4,113.4,84.0,0.06,0.61
2004-01-31,852.6,2595.0,473.8,128.7,77.0,-0.09,0.44
2004-02-29,793.0,2383.0,579.5,126.5,118.0,-0.03,0.41
2004-03-31,848.6,2624.0,608.1,126.3,81.0,0.06,0.37
2004-04-30,860.3,2356.0,89.1,215.1,91.0,-0.12,0.47
2004-05-31,879.7,2365.0,83.3,197.6,70.0,-0.51,0.48
2004-06-30,802.2,2275.0,70.5,210.4,85.0,-0.47,0.5
2004-07-31,836.7,2385.0,34.8,229.1,109.0,-0.36,0.82
2004-08-31,806.3,2297.0,0.0,233.3,84.0,0.02,1.01
2004-09-30,820.4,2186.0,0.0,233.3,111.0,0.19,1.01
2004-10-31,894.8,2094.0,0.0,240.1,131.0,0.14,0.96
2004-11-30,863.9,2200.0,73.6,178.1,105.0,-0.05,0.9
2004-12-31,868.4,2538.0,209.4,128.8,96.0,-0.13,0.92
2005-01-31,861.9,2517.0,205.2,11.1,106.0,-0.36,0.82
2005-02-28,780.8,2284.0,291.5,146.9,96.0,-0.84,0.54
2005-03-31,860.5,2575.0,318.4,160.1,103.0,-0.72,0.7
2005-04-30,840.0,2465.0,255.9,167.6,105.0,0.02,0.67
2005-05-31,866.2,2384.0,283.1,218.3,167.0,0.18,0.73
2005-06-30,833.2,2462.0,175.7,185.4,173.0,-0.13,0.42
2005-07-31,833.2,2417.0,120.9,211.4,126.0,-0.56,0.11
2005-08-31,832.4,2296.0,4.5,237.6,112.0,-0.45,0.21
2005-09-30,845.1,2082.0,15.2,225.4,108.0,-0.58,0.17
2005-10-31,885.8,2274.0,52.900000000000006,188.1,88.0,-0.54,0.17
2005-11-30,866.7,2216.0,80.4,186.8,73.0,-0.62,-0.35
2005-12-31,841.3,2643.0,392.3,85.9,62.0,-0.47,-0.75
2006-01-31,841.0,2595.0,377.8,106.1,118.0,-0.17,-0.75
2006-02-28,758.7,2382.0,886.0,143.9,76.0,-0.72,-0.5
2006-03-31,845.3,2598.0,288.2,104.3,120.0,-0.31,-0.46
2006-04-30,832.1,2456.0,262.8,160.7,90.0,-0.18,0.09
2006-05-31,855.4,2528.0,228.5,176.8,88.0,-0.17,0.34
